0,0,2.92174,-5,-3.27976,8.49226,526.425,0.655953,
1,2.92174,8.49226,-3.27976,526.425,2.95623,-3.25375,1.87266,
2,8.49226,2.95623,526.425,-3.25375,2.99024,-3.21404,0.0113727,
3,2.95623,2.99024,-3.25375,-3.21404,5.74283,89.5793,0.479309,
4,2.99024,5.74283,-3.21404,89.5793,3.08558,-3.02424,0.861184,
5,5.74283,3.08558,89.5793,-3.02424,3.17236,-2.74406,0.0273551,
6,3.08558,3.17236,-3.02424,-2.74406,4.02229,7.05411,0.211305,
7,3.17236,4.02229,-2.74406,7.05411,3.41039,-1.38514,0.179422,
8,4.02229,3.41039,7.05411,-1.38514,3.51082,-0.523279,0.0286062,
9,3.41039,3.51082,-1.38514,-0.523279,3.5718,0.0913943,0.0170717,
10,3.51082,3.5718,-0.523279,0.0913943,3.56273,-0.00451381,0.00254482,
11,3.5718,3.56273,0.0913943,-0.00451381,3.56316,-3.57433e-05,0.000119755,
